Vehicle,Compartment,Shelf,Item,Expected Qty,Actual Qty,Status,Notes / Action Required
Engine 60,Front — Hose Bays & Crosslays,Trash line · Crosslays · Rear skid loads · ⚠️ No front intake,100 ft Trash Line — Preconnected,1,,,
Engine 60,Front — Hose Bays & Crosslays,Trash line · Crosslays · Rear skid loads · ⚠️ No front intake,"1¾"" Crosslays — 200 ft ×2, Both Preconnected",1,,,
Engine 60,Engineer's Compartment,Left top · Right top · Middle · Bottom,Towels,1,,,
Engine 60,Engineer's Compartment,Left top · Right top · Middle · Bottom,30-Degree Storz Adapter,1,,,
Engine 60,Engineer's Compartment,Left top · Right top · Middle · Bottom,Pickup Tubes for Foam/Gel,1,,,
Engine 60,Engineer's Compartment,Left top · Right top · Middle · Bottom,Reducers — Multiple Sizes,1,,,
Engine 60,Engineer's Compartment,Left top · Right top · Middle · Bottom,Duct Tape,1,,,
Engine 60,Engineer's Compartment,Left top · Right top · Middle · Bottom,SCBA — Self-Contained Breathing Apparatus,1,,,
Engine 60,Engineer's Compartment,Left top · Right top · Middle · Bottom,Extra Air Bottle,1,,,
Engine 60,Engineer's Compartment,Left top · Right top · Middle · Bottom,Foam Nozzle — 125 GPM (Orange),1,,,
Engine 60,Engineer's Compartment,Left top · Right top · Middle · Bottom,Chief Eductor (Foam Eductor),1,,,
Engine 60,Engineer's Compartment,Left top · Right top · Middle · Bottom,"Gated Wye — 2½"" to (2) 1½""",1,,,
Engine 60,Engineer's Compartment,Left top · Right top · Middle · Bottom,Fog Nozzles ×2,1,,,
Engine 60,Engineer's Compartment,Left top · Right top · Middle · Bottom,"Rope to Move Charged 5"" Hose",1,,,
Engine 60,Engineer's Compartment,Left top · Right top · Middle · Bottom,"Adaptors — M2M, F2F, CFD, 2½""→1¾""",1,,,
Engine 60,Engineer's Compartment,Left top · Right top · Middle · Bottom,Eye Protection,1,,,
Engine 60,Engineer's Compartment,Left top · Right top · Middle · Bottom,Hydrant Bag,1,,,
Engine 60,Engineer's Compartment,Left top · Right top · Middle · Bottom,Gate Valve,1,,,
Engine 60,Engineer's Compartment,Left top · Right top · Middle · Bottom,"30 ft of 5"" Hose",1,,,
Engine 60,Engineer's Compartment,Left top · Right top · Middle · Bottom,Smooth Bore Nozzles,1,,,
Engine 60,Middle Compartment — Driver's Side,Hand tools · Nozzles · Entry tools · Deck gun,3 Air Tanks,1,,,
Engine 60,Middle Compartment — Driver's Side,Hand tools · Nozzles · Entry tools · Deck gun,Quartz Light (Side-Mounted),1,,,
Engine 60,Middle Compartment — Driver's Side,Hand tools · Nozzles · Entry tools · Deck gun,Deck Gun Ground Mount,1,,,
Engine 60,Middle Compartment — Driver's Side,Hand tools · Nozzles · Entry tools · Deck gun,Deck Gun Nozzle,1,,,
Engine 60,Middle Compartment — Driver's Side,Hand tools · Nozzles · Entry tools · Deck gun,Halligan Bar,1,,,
Engine 60,Middle Compartment — Driver's Side,Hand tools · Nozzles · Entry tools · Deck gun,Halligan with Gas Turn Off,1,,,
Engine 60,Middle Compartment — Driver's Side,Hand tools · Nozzles · Entry tools · Deck gun,Pickhead Axe / Fire Axe (×2 — Standard + Red),1,,,
Engine 60,Middle Compartment — Driver's Side,Hand tools · Nozzles · Entry tools · Deck gun,Flat Head Axe,1,,,
Engine 60,Middle Compartment — Driver's Side,Hand tools · Nozzles · Entry tools · Deck gun,Sledgehammer / Maul,1,,,
Engine 60,Middle Compartment — Driver's Side,Hand tools · Nozzles · Entry tools · Deck gun,Officer's Tool / Pry Axe,1,,,
Engine 60,Middle Compartment — Driver's Side,Hand tools · Nozzles · Entry tools · Deck gun,K-Tool,1,,,
Engine 60,Middle Compartment — Driver's Side,Hand tools · Nozzles · Entry tools · Deck gun,Cellar Nozzle,1,,,
Engine 60,Middle Compartment — Driver's Side,Hand tools · Nozzles · Entry tools · Deck gun,Piercing Nozzle,1,,,
Engine 60,Middle Compartment — Driver's Side,Hand tools · Nozzles · Entry tools · Deck gun,Fan Hanger,1,,,
Engine 60,Middle Compartment — Driver's Side,Hand tools · Nozzles · Entry tools · Deck gun,Fire Tape,1,,,
Engine 60,Rear Compartment — Driver's Side,10KW Generator · Power tools · Lighting · Ventilation fan,10KW Generator,1,,,
Engine 60,Rear Compartment — Driver's Side,10KW Generator · Power tools · Lighting · Ventilation fan,200 ft Roll of Electrical Cord,1,,,
Engine 60,Rear Compartment — Driver's Side,10KW Generator · Power tools · Lighting · Ventilation fan,B Post Cover,1,,,
Engine 60,Rear Compartment — Driver's Side,10KW Generator · Power tools · Lighting · Ventilation fan,Lights (Scene Lights),1,,,
Engine 60,Rear Compartment — Driver's Side,10KW Generator · Power tools · Lighting · Ventilation fan,Reciprocating Saw (Sawzall),1,,,
Engine 60,Rear Compartment — Driver's Side,10KW Generator · Power tools · Lighting · Ventilation fan,Ventilation Fan,1,,,
Engine 60,Rear Compartment — Driver's Side,10KW Generator · Power tools · Lighting · Ventilation fan,Plug Adaptors (110V Compatible),1,,,
Engine 60,Rear Compartment — Driver's Side,10KW Generator · Power tools · Lighting · Ventilation fan,Cribbing,1,,,
Engine 60,Rear Compartment — Driver's Side,10KW Generator · Power tools · Lighting · Ventilation fan,Small Step Ladder,1,,,
Engine 60,First Compartment — Officer's Side,Water rescue · Foam · Supply hose · Coping tool,Akron Coping Tool (Hose Hoist),1,,,
Engine 60,First Compartment — Officer's Side,Water rescue · Foam · Supply hose · Coping tool,Utility Rope — 100 ft,1,,,
Engine 60,First Compartment — Officer's Side,Water rescue · Foam · Supply hose · Coping tool,Spare Battery,1,,,
Engine 60,First Compartment — Officer's Side,Water rescue · Foam · Supply hose · Coping tool,Synching Rescue Collar,1,,,
Engine 60,First Compartment — Officer's Side,Water rescue · Foam · Supply hose · Coping tool,Mustang Suit,1,,,
Engine 60,First Compartment — Officer's Side,Water rescue · Foam · Supply hose · Coping tool,Water Helmet,1,,,
Engine 60,First Compartment — Officer's Side,Water rescue · Foam · Supply hose · Coping tool,Water Rescue Rope,1,,,
Engine 60,First Compartment — Officer's Side,Water rescue · Foam · Supply hose · Coping tool,Manual Pump Can (Silver Bullet),1,,,
Engine 60,First Compartment — Officer's Side,Water rescue · Foam · Supply hose · Coping tool,Gel Foam,1,,,
Engine 60,First Compartment — Officer's Side,Water rescue · Foam · Supply hose · Coping tool,Oil Dry (Kitty Litter),1,,,
Engine 60,First Compartment — Officer's Side,Water rescue · Foam · Supply hose · Coping tool,Life Vests (×multiple),1,,,
Engine 60,First Compartment — Officer's Side,Water rescue · Foam · Supply hose · Coping tool,"50 ft of 5"" Hose (Second Section)",1,,,
Engine 60,Middle Compartment — Officer's Side,Hand tools · Forcible entry,Small Bolt Cutter,1,,,
