Compartment,Shelf,Item,Expected Qty,Actual Qty,Status,Notes / Action Required
Front Seat,—,Radios,1,,,
Glove Box,—,ERG Book,1,,,
Glove Box,—,Bug Spray,1,,,
Glove Box,—,Fuel Key,1,,,
Glove Box,—,Water Guides / Water Source Maps,1,,,
Back Seat,—,PFD — Personal Flotation Device,1,,,
Back Seat,—,Hot Stick,1,,,
Back Seat,—,Box Light (Large Flashlight),1,,,
Back Seat,—,Hose Bag,1,,,
Container in Back Seat,—,Small 1″ Hose,1,,,
Container in Back Seat,—,Safety Vest,1,,,
Container in Back Seat,—,Maps,1,,,
Container in Back Seat,—,Duct Tape,1,,,
Container in Back Seat,—,Caution Tape,1,,,
Container in Back Seat,—,Garbage Bags,1,,,
Container in Back Seat,—,Pub Ed — Public Education Materials,1,,,
Container in Back Seat,—,Strap (Utility / Tie-Down),1,,,
Container in Back Seat,—,Towel,1,,,
Rear of Vehicle — Water System,—,250-Gallon Water Tank,1,,,
Rear of Vehicle — Water System,—,1″ Hose Reel (200 Feet),1,,,
Rear of Vehicle — Water System,—,Handle for Hose Reel,1,,,
Rear of Vehicle — Water System,—,Hard Suction Hose (2 × 12′ Black),1,,,
Rear of Vehicle — Water System,—,Metal Filter / Strainer for Suction Hose,1,,,
Rear of Vehicle — Water System,—,Metal Wheel Chock (1),1,,,
Rear of Vehicle — Water System,—,Plastic Gas Can (Pump Fuel),1,,,
Rear of Vehicle — Water System,—,2½″ Hose Roll (50 Feet),1,,,
Rear of Vehicle — Water System,—,1½″ Hose on Cross Lay (~150 Feet),1,,,
Rear of Vehicle — Water System,—,Fog Nozzle,1,,,
Rear of Vehicle — Hand Tools,—,Brush Paddles (3 Total),1,,,
Rear of Vehicle — Hand Tools,—,Pike Poles (2 Total),1,,,
Rear of Vehicle — Hand Tools,—,New York Pole / Roof Rake (1),1,,,
Rear of Vehicle — Hand Tools,—,Bolt Cutters,1,,,
Rear of Vehicle — Hand Tools,—,"Halligan Tool (""Hallagan Tool"")",1,,,
Rear of Vehicle — Hand Tools,—,Plastic Funnel,1,,,
Water Pump,—,Portable Water Pump — 2½″ Inlet / 1½″ Outlet,1,,,
Hydrant Bag,—,Gate Valve,1,,,
Hydrant Bag,—,1″ Garden Hose,1,,,
Hydrant Bag,—,Hydrant Wrench,1,,,
Hydrant Bag,—,Small Spanner Wrench (1¾″ Hose / Gas Shut-Off),1,,,
Hydrant Bag,—,Large Spanner Wrench (5″ Hose / LDH),1,,,
Hydrant Bag,—,Storz Adapters — A through F (Hydrant Bag),1,,,
Hydrant Bag,—,Pipe Wrench,1,,,
Hydrant Bag,—,Black Electrical Tape,1,,,
