Compartment,Shelf,Item,Expected Qty,Actual Qty,Status,Notes / Action Required
"Hose Bays — Front, Side/Middle & Rear",FRONT HOSE BAY,"100 ft Trash Line — 1¾"" Preconnected",1,,,
"Hose Bays — Front, Side/Middle & Rear",FRONT HOSE BAY,30 ft 5-Inch Supply Hose (Front),1,,,
"Hose Bays — Front, Side/Middle & Rear",FRONT HOSE BAY,Storz-to-Steamer Adapter (Front Bay),1,,,
"Hose Bays — Front, Side/Middle & Rear",SIDE / MIDDLE HOSE BAY — CROSSLAYS,"1¾"" Crosslay Preconnects ×2 — 200 ft each, Fog Nozzle",1,,,
"Hose Bays — Front, Side/Middle & Rear",SIDE / MIDDLE HOSE BAY — CROSSLAYS,"2½"" Crosslay Preconnect 200 ft — Smooth Bore Nozzle",1,,,
"Hose Bays — Front, Side/Middle & Rear",REAR HOSE BAYS — OVERVIEW,"Blitz Fire Line 300 ft — 3"" Preconnected",1,,,
"Hose Bays — Front, Side/Middle & Rear",REAR HOSE BAYS — OVERVIEW,Highrise Bag,1,,,
Compartment 1 — Engineer's Compartment,TOP SHELF — MAINTENANCE & ENGINEER'S TOOLS,"1"" Green Garden Hose",1,,,
Compartment 1 — Engineer's Compartment,TOP SHELF — MAINTENANCE & ENGINEER'S TOOLS,Black Tool Box — Engineer's Maintenance Kit,1,,,
Compartment 1 — Engineer's Compartment,TOP SHELF — MAINTENANCE & ENGINEER'S TOOLS,"Top Shelf — Storz Connectors, Deck Gun / BlitzFire Nozzle, Utility Flags, Airpack",1,,,
Compartment 1 — Engineer's Compartment,"MIDDLE SHELF — NOZZLES, SPANNERS & FITTINGS",Double-Ended Spanners ×2 — Storz & Hose Thread,1,,,
Compartment 1 — Engineer's Compartment,"MIDDLE SHELF — NOZZLES, SPANNERS & FITTINGS",Small House Spanners with Gas Turn-Off Notch ×2,1,,,
Compartment 1 — Engineer's Compartment,"MIDDLE SHELF — NOZZLES, SPANNERS & FITTINGS","Gated Wyes — 2½"" to 1½"" ×2",1,,,
Compartment 1 — Engineer's Compartment,"MIDDLE SHELF — NOZZLES, SPANNERS & FITTINGS",Fog Nozzles ×2 & Smooth Bore Nozzles ×1 + yellow tip ×1,1,,,
Compartment 1 — Engineer's Compartment,"MIDDLE SHELF — NOZZLES, SPANNERS & FITTINGS",Reducers & Adapters — Middle Shelf Assortment,1,,,
Compartment 1 — Engineer's Compartment,"MIDDLE SHELF — NOZZLES, SPANNERS & FITTINGS","Hose Thread Connectors — 2½"" and 1¾"" Sets 6 each",1,,,
Compartment 1 — Engineer's Compartment,"BOTTOM SHELF — HYDRANT BAG & 5"" HOSE",Hydrant Bag — Complete Contents,1,,,
"Compartment 2 — Irons, Forcible Entry & Air Bags",—,Halligan Bar (Haligan),1,,,
"Compartment 2 — Irons, Forcible Entry & Air Bags",—,Flat Head Axe,1,,,
"Compartment 2 — Irons, Forcible Entry & Air Bags",—,Maul,1,,,
"Compartment 2 — Irons, Forcible Entry & Air Bags",—,Closet Pike Pole (D Handle),1,,,
"Compartment 2 — Irons, Forcible Entry & Air Bags",—,Bolt Cutters — Medium & Large ×1 each,1,,,
"Compartment 2 — Irons, Forcible Entry & Air Bags",—,K-Tool in Leather Case,1,,,
"Compartment 2 — Irons, Forcible Entry & Air Bags",—,Manhole Cover Remover,1,,,
"Compartment 2 — Irons, Forcible Entry & Air Bags",—,Air Bags — Lifting Bags ×1–2 in Comp 2,1,,,
"Compartment 2 — Irons, Forcible Entry & Air Bags",—,Air Tanks ×3 — Outside of Comp 2,1,,,
"Compartment 3 — RIT, Rescue & Ventilation",TOP SHELF,"RIT Pack — Rapid Intervention Team Pack 60-min, 4500 PSI",1,,,
"Compartment 3 — RIT, Rescue & Ventilation",MIDDLE SHELF,Portable Work Lights ×2,1,,,
"Compartment 3 — RIT, Rescue & Ventilation",MIDDLE SHELF,Cellar Nozzle on Cellar Pipe,1,,,
"Compartment 3 — RIT, Rescue & Ventilation",BOTTOM SHELF,"Ventilation Fan (Battery Powered, Positive Pressure Ventilation)",1,,,
"Compartment 3 — RIT, Rescue & Ventilation",BOTTOM SHELF,Orange Box — Air Bag Controller,1,,,
"Compartment 3 — RIT, Rescue & Ventilation",BOTTOM SHELF,Cribbing (Plastic),1,,,
"Compartment 3 — RIT, Rescue & Ventilation",BOTTOM SHELF,Transformer Nozzles,1,,,
"Rear of Truck — Left Panel, Center & Rescue Tools",LEFT OF REAR — HOOKS & LADDER,New York Hooks ×2 — 6 ft & 8 ft,1,,,
"Rear of Truck — Left Panel, Center & Rescue Tools",LEFT OF REAR — HOOKS & LADDER,Attic Ladder 10 ft,1,,,
"Rear of Truck — Left Panel, Center & Rescue Tools",MIDDLE OF REAR — RESCUE TOOLS,Hurst Rescue Cutter & Hurst Rescue Spreader,1,,,
"Rear of Truck — Left Panel, Center & Rescue Tools",MIDDLE OF REAR — RESCUE TOOLS,Hydraulic Ram,1,,,
"Rear of Truck — Left Panel, Center & Rescue Tools",MIDDLE OF REAR — RESCUE TOOLS,Reciprocating Saw (Battery Powered),1,,,
"Rear of Truck — Left Panel, Center & Rescue Tools",MIDDLE OF REAR — RESCUE TOOLS,Window Punch,1,,,
"Rear of Truck — Left Panel, Center & Rescue Tools",MIDDLE OF REAR — RESCUE TOOLS,Batteries ×6 Upper Shelf + Battery-to-AC Converter,1,,,
"Rear of Truck — Left Panel, Center & Rescue Tools",MIDDLE OF REAR — RESCUE TOOLS,Backboards ×2 — Rear Mounted,1,,,
Compartment 5 — Officer's Side,TOP SHELF — AXE COMPLEMENT,Pick Head Axe / Fire Axe,1,,,
Compartment 5 — Officer's Side,TOP SHELF — AXE COMPLEMENT,Pig Axe,1,,,
Compartment 5 — Officer's Side,MIDDLE SHELF,RASP — 200 ft Search Rope,1,,,
Compartment 5 — Officer's Side,MIDDLE SHELF,Pig Drain Cover,1,,,
Compartment 5 — Officer's Side,BOTTOM SHELF,Red Bag — 4 PFDs + 1 Throw Preserver,1,,,
Compartment 5 — Officer's Side,BOTTOM SHELF,W-Tool (Hydraulic Spreading Tool),1,,,
Compartment 5 — Officer's Side,BOTTOM SHELF,Comp 5 Tool Box — Full Contents,1,,,
Compartment 6 — Water Rescue & Air Bottles,—,Mustang Suit,1,,,
Compartment 6 — Water Rescue & Air Bottles,—,Rope Throw Bag,1,,,
Compartment 6 — Water Rescue & Air Bottles,—,Water Helmet,1,,,
Compartment 6 — Water Rescue & Air Bottles,—,Life Safety Ring + Strap with 3 Carabiners,1,,,
Compartment 6 — Water Rescue & Air Bottles,—,Air Bottles ×4 — Under Compartment 6,1,,,
Compartment 7 — Fire Extinguishers & Spill Control,—,Silver Bullet — Pressurized Water Extinguisher,1,,,
Compartment 7 — Fire Extinguishers & Spill Control,—,ABC Dry Chemical Extinguisher,1,,,
Compartment 7 — Fire Extinguishers & Spill Control,—,CO₂ Extinguisher,1,,,
Compartment 7 — Fire Extinguishers & Spill Control,—,Class K Extinguisher,1,,,
Compartment 7 — Fire Extinguishers & Spill Control,—,Oil Dry,1,,,
Compartment 7 — Fire Extinguishers & Spill Control,—,Fire Blanket — For Electric Vehicles,1,,,
Above the Compartments — Ladders & Pike Poles,—,Extension Ladder 24 ft + Roof Ladder 14 ft,1,,,
