Compartment,Shelf,Item,Expected Qty,Actual Qty,Status,Notes / Action Required
Front Dash — Communications,DuCom · Fireground radio · PA system,DuCom (Gray Microphone),1,,,
Front Dash — Communications,DuCom · Fireground radio · PA system,Fireground Microphone (Black — Lower Left),1,,,
Front Dash — Communications,DuCom · Fireground radio · PA system,PA System Microphone (Black — Upper Right),1,,,
Glove Compartment,Maps · ERG · Flares · Passport · Accountability,Maps — District Street Maps,1,,,
Glove Compartment,Maps · ERG · Flares · Passport · Accountability,Truck Loading Instruction Paper,1,,,
Glove Compartment,Maps · ERG · Flares · Passport · Accountability,Patient Prepare Reports (Blank),1,,,
Glove Compartment,Maps · ERG · Flares · Passport · Accountability,Vehicle Name Laminate,1,,,
Glove Compartment,Maps · ERG · Flares · Passport · Accountability,Spare Tire Lock Key (In Bag),1,,,
Glove Compartment,Maps · ERG · Flares · Passport · Accountability,Road Flares (×2),1,,,
Glove Compartment,Maps · ERG · Flares · Passport · Accountability,Passport Accountability System,1,,,
Glove Compartment,Maps · ERG · Flares · Passport · Accountability,Emergency Response Guidebook (ERG),1,,,
Door Pockets — Driver + Officer,Roadway vests × 2,Roadway Safety Vest (×2 — One Per Door),1,,,
Front Bench + Back Seat,PPE · Radios,PPE — Personal Protective Equipment (Back Seat),1,,,
Front Bench + Back Seat,PPE · Radios,Portable Radios (×4),1,,,
Truck Bed — Cases and Bins,MSA case · Milk crate · Gray bin · Water rescue · Rope,MSA Case — SCBA + Air Bottle + Face Piece (Size M),1,,,
Truck Bed — Cases and Bins,MSA case · Milk crate · Gray bin · Water rescue · Rope,Milk Crate — Contents,1,,,
Truck Bed — Cases and Bins,MSA case · Milk crate · Gray bin · Water rescue · Rope,Gray Bin — Water Rescue Equipment,1,,,
Truck Bed — Cases and Bins,MSA case · Milk crate · Gray bin · Water rescue · Rope,Orange Square Bag — Blanket,1,,,
Truck Bed — Cases and Bins,MSA case · Milk crate · Gray bin · Water rescue · Rope,Black Bag — Flood Light + Stand,1,,,
Truck Bed — Cases and Bins,MSA case · Milk crate · Gray bin · Water rescue · Rope,Orange/Red Bag — PFD + Throw Bag,1,,,
Truck Bed — Cases and Bins,MSA case · Milk crate · Gray bin · Water rescue · Rope,Rope Spool — 200 ft,1,,,
Truck Bed — Cases and Bins,MSA case · Milk crate · Gray bin · Water rescue · Rope,ABC Fire Extinguisher,1,,,
Truck Bed — Cases and Bins,MSA case · Milk crate · Gray bin · Water rescue · Rope,Sked — Foldable Stretcher,1,,,
Truck Bed — Tools,Pike poles · Halligan · Axes · Umbrella · Snow scraper,Pike Poles (×2),1,,,
Truck Bed — Tools,Pike poles · Halligan · Axes · Umbrella · Snow scraper,Halligan Bar,1,,,
Truck Bed — Tools,Pike poles · Halligan · Axes · Umbrella · Snow scraper,Flat Head Axe,1,,,
Truck Bed — Tools,Pike poles · Halligan · Axes · Umbrella · Snow scraper,Umbrella,1,,,
Truck Bed — Tools,Pike poles · Halligan · Axes · Umbrella · Snow scraper,Snow Scraper,1,,,
Supplies — Batteries & Hydration,Spare DeWalt batteries · Water bottles,Spare DeWalt Batteries,1,,,
Supplies — Batteries & Hydration,Spare DeWalt batteries · Water bottles,Water Bottles,1,,,
U61 Shift Rig Check — Checklist,Walk it every shift · Sign off · Own your rig,Front Dash,1,,,
U61 Shift Rig Check — Checklist,Walk it every shift · Sign off · Own your rig,Glove Compartment,1,,,
U61 Shift Rig Check — Checklist,Walk it every shift · Sign off · Own your rig,Door Pockets,1,,,
U61 Shift Rig Check — Checklist,Walk it every shift · Sign off · Own your rig,Front Bench + Back Seat,1,,,
U61 Shift Rig Check — Checklist,Walk it every shift · Sign off · Own your rig,Truck Bed — Cases & Bins,1,,,
U61 Shift Rig Check — Checklist,Walk it every shift · Sign off · Own your rig,Truck Bed — Tools,1,,,
U61 Shift Rig Check — Checklist,Walk it every shift · Sign off · Own your rig,Supplies,1,,,
